GraphBuildTime	0.0563h wall, 0.0452h user + 0.0016h system = 0.0468h CPU (83.12%)
GraphMergeTime	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (92.62%)
disjointSubgraphs	2246
nodes	3226
directedEdges	4014
selfEdges	2038
totalGraphEvidence	79203
totalCleaned	37985
highestSearchCount	146
isMaxSearchCount	0
highestSearchDensity	0.13918
isMaxSearchDensity	0

[Sample0]
Source	/home/robin/Documents/Project/Samples/bam/single/17296.bam
MinMapqFiltered	473343	0.0536
NotFiltered	8352635	0.9464
NotFilteredAndIgnored	8127015	0.9208
NotFilteredAndAnomalousPair	220675	0.0250
NotFilteredAndAnomalousPairRemotes	2614	0.0003
NotFilteredAndSplitRead	1420	0.0002
NotFilteredAndSplitReadInAnomalousPair	160	0.0000
NotFilteredAndSplitReadSupplementarySegments	680	N/A
NotFilteredAndLargeIndel	1832	0.0002
NotFilteredAndSemiAligned	2021	0.0002
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	3318	0.3888
EvidenceType_cigar	1832	0.2147
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	2030	0.2379
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	1354	0.1587
EvidenceType_unknown	0	0.0000
ClosePairs	479

[Sample5]
Source	/home/robin/Documents/Project/Samples/bam/single/17304.bam
MinMapqFiltered	319638	0.0509
NotFiltered	5961463	0.9491
NotFilteredAndIgnored	5750177	0.9155
NotFilteredAndAnomalousPair	207655	0.0331
NotFilteredAndAnomalousPairRemotes	1804	0.0003
NotFilteredAndSplitRead	832	0.0001
NotFilteredAndSplitReadInAnomalousPair	90	0.0000
NotFilteredAndSplitReadSupplementarySegments	377	N/A
NotFilteredAndLargeIndel	1843	0.0003
NotFilteredAndSemiAligned	1202	0.0002
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	2594	0.4061
EvidenceType_cigar	1843	0.2886
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	1206	0.1888
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	744	0.1165
EvidenceType_unknown	0	0.0000
ClosePairs	687

NodeRegionSizequantile:
0.25	46
0.5	66
0.75	173
0.9	233
0.95	276
0.99	451
NodeEdgeCount:
0	0
1	2815
2	305
3	55
4	20
5	11
6	2
7	3
8	3
9+	12
NodeObservationCount:
0	344
1	0
2	0
3	0
4	0
5	0
6	1395
7	10
8	4
9	352
10	2
11	0
12	405
13	3
14	3
15	93
16	0
17	0
18	172
19	3
20	0
21	55
22	1
23	0
24	93
25	1
26	2
27	43
28	0
29+	245
